,principio_activo,concentracion,unidad_de_dispensacion,fabricante,unidad_base,canal,precio_por_tableta,factoresprecio,numerofactor,precio_por_tableta_float,log_precio_por_tableta,concentracion_filtrado,concentracion_en_gramos,principio_activo_encoded,unidad_de_dispensacion_encoded,fabricante_encoded,factoresprecio_encoded,canal_encoded,precio_normalizado
6220,guaifenesina,guaifenesina 100 mg,Jarabe,Licol,ml,Institucional,"1,787.00",Medio,2,1787.0,7.488852955733459,100 mg,0.1,899,10,254,2,1,-0.12122694777836261
6152,azitromicina,azitromicina 500 mg,Tableta o cápsula,Bussié,mg,Comercial,"21,938.83",Alto,3,21938.83,9.996058985394463,500 mg,0.5,227,27,87,0,0,0.9853746906670335
1506,timolol y bimatoprost,"bimatoprost 0,3 mg + timolol 5 mg",Solución o suspensión oftálmica,Allergan,ml,Comercial,"72,820.00",Medio,2,72820.0,11.195759654126208,3 mg + 5 mg,0.008,1674,20,19,2,0,3.779422977498489
2820,colecalciferol,colecalciferol 1000 ui,Tableta o cápsula,Farma,ui,Comercial,885.82,Medio,2,885.82,6.78764203048739,,0.0,503,27,144,2,0,-0.17071363283546273
6558,sertralina,sertralina 50 mg,Tableta o cápsula,Tecnoquimicas,mg,Institucional,174.00,Medio,2,174.0,5.1647859739235145,50 mg,0.05,1552,27,416,2,1,-0.20980195276860042
9870,escitalopram,escitalopram 20 mg,Tableta o cápsula,Altadis,mg,Institucional,644.67,Medio,2,644.67,6.470288537348172,20 mg,0.02,705,27,20,2,1,-0.18395595301735723
10665,levodopa + carbidopa + entacapone,entacapone 200 mg + levodopa 100 mg + carbidopa 25 mg,Tableta o cápsula,Humax,mg,Institucional,"2,316.67",Medio,2,2316.67,7.748317649657977,200 mg + 100 mg + 25 mg,0.32500000000000007,1111,27,207,2,1,-0.09214106873733392
3105,quetiapina,quetiapina 50 mg,Tableta o cápsula de liberación modificada,Procaps,mg,Comercial,679.39,Alto,3,679.39,6.5226661631767815,50 mg,0.05,1493,28,353,0,0,-0.18204936642513092
11576,clindamicina,clindamicina 300 mg,Tableta o cápsula,Pfizer,mg,Institucional,"4,029.00",Alto,3,4029.0,8.301521654940728,300 mg,0.3,446,27,338,0,1,0.0018884652334868362
794,rifamicina,rifamicina 1 g,Solución o suspensión tópica,Tecnofar,ml,Comercial,"26,923.58",Medio,2,26923.58,10.200794903017131,1 g,1.0,1507,24,414,2,0,1.2591033057476833
